yt_id;q_id;videoname
C3cwGCezgSQ;Q465762;Laoco”n and his Sons
RD_Mh_SDz3s;Q877191;Giorgione, Three Philosophers
q8cYGh-K6Ok;Q26703809;Gossaert, Saint Luke Painting the Madonna
jk3wNadYA7k;Q2401235;Ambrogio Lorenzetti, Palazzo Pubblico frescos: Allegory and effect of good and bad government
KdDIIYqXmjw;Q1544976;Pacher, St. Wolfgang Altarpiece
m4raOIxsbaU;Q130257;Ludovisi Battle Sarcophagus
ZVUH4-Wsdwg;Q24090;Titian, Christ Crowned with Thorns
p8Vasl3L5p8;Q2265370;Uccello, The Battle of San Romano
NoCW80MEGXY;Q219344;Turner, Slave Ship
bihBbqzL96Y;Q737062;Manet, Olympia
FmjSUyyc-3M;Q1206847;Duchamp, Fountain
6mp-fBJNQmU;Q2461937;Dali, The Persistence of Memory
OhJKDqZgNXg;Q133732;Myron, Discobolus (Discus Thrower), Roman copy of an ancient Greek bronze
ZoiY6ZLEKaY;Q2546309;Drer, Self-portrait (1500)
51UA1T89MzU;Q841762;Alexander Mosaic from the House of the Faun, Pompeii
pQJrTf_x7Wk;Q636001;Couture, Romans of the Decadence
muJatqh6wRM;Q15874516;"Stuck, The Sin"
t9_lemSlr1o;Q644936;Rubens, The Rape of the Daughters of Leucippus
WyNqLrb0LRE;Q829270;Drer, Four Apostles
K0qH8EwiH2g;Q241455;Altdorfer, the Battle of Issus
Nk4DmlnoLxw;Q13234294;Khnopff, I Lock My Door Upon Myself
KQ63wu7lsXo;Q681431;Barberini Faun
MuD06cnjtAM;Q1289781;The Colossus of Constantine
pfnX-zgXHBM;Q699319;Parmigianino, Self-Portrait in a Convex Mirror
NT0SHjOowLA;Q37571;Why is that important? Looking at Jackson Pollock
M0Nf2Osgwkc;Q3605563;Giorgione, the Adoration of the Shepherds
kiMNT18c4Ko;Q623612;Ara Pacis
2aUFB9hQncQ;Q7723379;Art and context: Monet's Cliff Walk at Pourville and Malevich's White on White
J2CtQD3OLRI;Q46956912;Andy Warhol's Soup Cans: Why Is This Art?
RKcJvjP9zgY;Q1333433;Bernini, Ecstasy of Saint Teresa
ABhqENOxSrU;Q3705703;Pontormo, The Entombment of Christ
FvsSPJoJB3k;Q1398760;Apollonius, Seated Boxer
QEA30X4ysvg;Q2344368;Raphael, Galatea
9ODhKqFaugQ;Q220859;Van Eyck, The Arnolfini Portrait
